=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE242197/GSM7754820/counts.1pz,15426210,6758,19268980,154178876,1185.35,1179.77
/mnt/home/besleya/quant/GSE114725/GSM3148629/counts.1pz,789025,1064,526261,4214348,29.1732,26.7363
/mnt/home/besleya/quant/GSE303581/GSM9129513/counts.1pz,18087781,10028,22848096,182824884,1384.23,1376.39
/mnt/home/besleya/quant/GSE266546/GSM8249607/counts.1pz,1910532,4457,1747105,13994672,87.2895,83.5642
/mnt/home/besleya/quant/GSE261774/GSM8151513/counts.1pz,5985534,4906,7045665,56384948,394.813,399.673
/mnt/home/besleya/quant/GSE206391/GSM6252947/counts.1pz,810849,709,575302,4605256,34.4974,31.733
/mnt/home/besleya/quant/GSE150290/GSM4546340/counts.1pz,2615385,1977,2661625,21300912,149.626,147.287
/mnt/home/besleya/quant/GSE121080/GSM3425697/counts.1pz,10087321,6221,12827159,102642160,754.11,755.385
/mnt/home/besleya/quant/GSE232362/GSM7329392/counts.1pz,27409499,112234,34954580,280085580,2170.52,2155.89
/mnt/home/besleya/quant/GSE204864/GSM6199113/counts.1pz,378864,266,74063,593572,5.54555,4.0557
/mnt/home/besleya/quant/GSE254513/GSM8045361/counts.1pz,362322,1133,46389,375648,4.65799,3.06973
/mnt/home/besleya/quant/GSE266546/GSM8249734/counts.1pz,495162,1006,183042,1468364,10.2659,8.60439
/mnt/home/besleya/quant/GSE260842/GSM8125234/counts.1pz,21571500,7595,25720209,205792056,1682.91,1671.49
/mnt/home/besleya/quant/GSE261110/GSM8135397/counts.1pz,38912553,25942,49870498,399067756,3075.65,3049.9
/mnt/home/besleya/quant/GSE266546/GSM8249664/counts.1pz,675271,3079,311893,2507464,15.381,13.3621
/mnt/home/besleya/quant/GSE114725/GSM3148618/counts.1pz,1179245,2323,928693,7438840,47.149,46.191
/mnt/home/besleya/quant/GSE129826/GSM3722730/counts.1pz,22769793,10423,30132042,241098032,1835.35,1819.9
/mnt/home/besleya/quant/GSE236710/GSM7573930/counts.1pz,25531536,91803,32105910,257214496,2147.64,2140.82
/mnt/home/besleya/quant/GSE206391/GSM6252957/counts.1pz,881261,155,803055,6425064,53.5795,52.3791
/mnt/home/besleya/quant/GSE204864/GSM6199105/counts.1pz,982055,1148,679052,5437012,37.748,34.479
/mnt/home/besleya/quant/GSE206391/GSM6252955/counts.1pz,709599,203,532123,4257800,33.9148,31.7307
/mnt/home/besleya/quant/GSE183217/GSM5553486/counts.1pz,84593074,342891,105896523,848543752,6398.79,6352.79
/mnt/home/besleya/quant/GSE280311/GSM8594539/counts.1pz,1447495,3282,1579232,12646988,80.8589,78.0622
/mnt/home/besleya/quant/GSE206284/GSM6249264/counts.1pz,2633745,12396,2251358,18060452,102.809,99.7687
/mnt/home/besleya/quant/GSE242197/GSM7754835/counts.1pz,24448115,81264,26072509,208905132,1533.06,1524.26
/mnt/home/besleya/quant/GSE216357/GSM6670927/counts.1pz,13910543,7655,17666250,141360624,1057.96,1045.68
/mnt/home/besleya/quant/GSE253903/GSM8029969/counts.1pz,14788132,6656,18073844,144617380,1146.4,1139.57
/mnt/home/besleya/quant/GSE266546/GSM8249650/counts.1pz,1962950,14967,1348256,10845920,57.1237,54.9746
/mnt/home/besleya/quant/GSE266546/GSM8249633/counts.1pz,586415,1981,249716,2005656,13.2784,11.0845
/mnt/home/besleya/quant/GSE303581/GSM9129518/counts.1pz,18987389,3003,27087265,216710136,1868.93,1859.37
/mnt/home/besleya/quant/GSE202410/GSM6119086/counts.1pz,5119191,3504,5813038,46518324,333.098,335.305
/mnt/home/besleya/quant/GSE204702/GSM6186046/counts.1pz,6801224,2087,8313289,66514664,532.924,529.312
/mnt/home/besleya/quant/GSE127246/GSM3633037/counts.1pz,7767897,22794,7500390,60094300,386.297,383.042
/mnt/home/besleya/quant/GSE178910/GSM5400788/counts.1pz,9505524,5453,12457534,99682088,741.388,737.43
/mnt/home/besleya/quant/GSE266546/GSM8249641/counts.1pz,833782,3263,480243,3855000,24.025,21.2187
/mnt/home/besleya/quant/GSE201534/GSM6066349/counts.1pz,22046966,105711,22604103,181255672,1129.83,1118.99
/mnt/home/besleya/quant/GSE156405/GSM4730270/counts.1pz,4307962,3581,4864227,38928144,273.683,276.356
/mnt/home/besleya/quant/GSE262686/GSM8173786/counts.1pz,297831,119,702,6096,2.24154,0.652686
/mnt/home/besleya/quant/GSE270533/GSM8346283/counts.1pz,870168,400,666269,5331756,41.2135,37.4176
/mnt/home/besleya/quant/GSE280311/GSM8594544/counts.1pz,1085984,4786,978412,7846444,46.0998,44.1344
/mnt/home/besleya/quant/GSE266546/GSM8249719/counts.1pz,1622373,4826,1322305,10597748,64.0881,63.463
/mnt/home/besleya/quant/GSE266546/GSM8249593/counts.1pz,824563,2609,511532,4102696,25.5797,23.126
